NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
10P PRESTADORA DE SERVICOS LTDA. EPP.;20/06/1996;1172692;10P PRESTADORA DE SERVICOS;25/03/2014;***;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS;PROMOÇÃO DE VENDAS;R. TEN BRIG FRANCISCO DE ASSIS CORREA DE MELLO;91;***;***;***;JARDIM DAS AMÉRICAS;81540210
10RT - PARTICIPACOES LTDA - ME;14/08/2015;1236590;10RT - PARTICIPACOES LTDA - ME;20/08/2015;***;HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;***;R. LUIZ TRAMONTIN;1345;10;***;***;CAMPO COMPRIDO;81230161
11 COMUNICACAO INTEGRADA E ADMINISTRADORA DE CARTO;10/04/2008;1435944;PAGINA 11 COMUNICACAO INTEGRADA LTDA;04/06/2019;***;AGÊNCIAS DE PUBLICIDADE;ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO;EMISSÃO DE VALES-ALIMENTAÇÃO, VALES-TRANSPORTE E S;R. TONI BUSO;36;***;***;***;PAROLIN;80220250
11 DE JULHO PARTICIPACOES LTDA;12/03/2012;1456089;11 DE JULHO PARTICIPACOES LTDA;17/09/2019;***;OUTRAS SOCIEDADES DE PARTICIPAÇÃO, EXCETO HOLDINGS;***;***;AV. JOÃO GUALBERTO;1881;601;6;***;JUVEVÊ;80030001
11 PROMO PUBLICIDADE E PROPAGANDA LTDA - ME;30/01/2015;1227062;11 PROMO PUBLICIDADE E PROPAGANDA LTDA - ME;10/06/2015;***;PROMOÇÃO DE VENDAS;ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXP;R. TONI BUSO;36;***;***;***;PAROLIN;80220250
11 TABEL IGNES MARIA P CAETANO;19/01/1969;434963;11 TABEL IGNES MARIA P CAETANO;02/01/1998;***;CARTÓRIOS;***;***;R. MARECHAL DEODORO;228;***;***;***;CENTRO;80010010
11 TUR TRANSPORTE E TURISMO LTDA;01/09/2016;1400540;DEPPE EXPRESS;13/11/2018;***;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB;***;R. BERNARDO SOBIECK;548;***;***;***;CAMPO COMPRIDO;81270500
1188 CONSULTING GROUP CONSULTORIA ESTRATEGICA E MA;19/08/2010;950645;1188 CONSULTING GROUP;30/09/2010;***;CONSULTORIA EM PUBLICIDADE;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERE;***;R. PROFESSOR MANOEL VIEIRA DE ALENCAR;410;***;***;***;JARDIM SOCIAL;82520400
1220 PARTICIPACOES E INVESTIMENTOS SOCIETARIOS EIR;19/06/2019;1443098;EMPREENDIMENTOS E PARTICIPACOES FLORESTAIS SAO JOR;11/07/2019;***;SOCIEDADES DE INVESTIMENTO;***;***;AV. JOÃO GUALBERTO;1881;601;6;***;JUVEVÊ;80030001
123 E JA EVENTOS ESPECIAIS LTDA - ME;28/09/2009;1326935;123 E JA EVENTOS ESPECIAIS LTDA;09/08/2017;31/12/2017;CASAS DE FESTAS E EVENTOS;***;***;AV. NOSSA SENHORA APARECIDA;742;***;***;***;SEMINÁRIO;80310100
12A COMERCIO E LOCACOES DE FERRAMENTAS LTDA;11/07/2013;1282160;12 A COMERCIO E LOCACOES DE FERRAMENTAS;26/08/2016;***;COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA;ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIA;R. ARARIPE JÚNIOR;48;***;***;***;FAZENDINHA;81330150
13 M EDITORA LTDA;01/12/1991;930608;13 M EDITORA LTDA;16/04/2010;***;EDIÇÃO DE REVISTAS;AGÊNCIAS DE PUBLICIDADE;***;R. XV DE NOVEMBRO;1700;4;2;***;ALTO DA RUA XV;80050000
135 GRAUS INCORPORACAO E EMPREENDIMENTOS IMOBILIAR;25/07/1996;1260195;135 GRAUS CONSTRUTORA LTDA;01/03/2016;***;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;***;***;R. ANGÉLICA KENSKI;46;***;***;***;CAJURU;82980170
14 BIS BAR E PETISCARIA LTDA;01/07/1998;1444010;14 BIS BAR E PETISCARIA;17/07/2019;***;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM;***;R. 24 DE MAIO;26;***;***;***;CENTRO;80230080
14 NOVE REBOQUES E GUINCHOS LTDA;20/10/2015;1407938;14 NOVE REBOQUES E GUINCHOS;02/01/2019;***;SERVIÇOS DE REBOQUE DE VEÍCULOS;***;***;R. VICENTE MICHELOTTO;4550;***;***;***;CIDADE INDUSTRIAL;81460010
